Combined_Key,Last_Update,Confirmed,Deaths
Afghanistan,2022-02-01 04:21:11,162926,7414
Albania,2022-02-01 04:21:11,258543,3346
Algeria,2022-02-01 04:21:11,252117,6579
Andorra,2022-02-01 04:21:11,35958,145
Angola,2022-02-01 04:21:11,98116,1895
Antigua and Barbuda,2022-02-01 04:21:11,6627,127
Argentina,2022-02-01 04:21:11,8378656,121273
Armenia,2022-02-01 04:21:11,367795,8053
"Australian Capital Territory, Australia",2022-02-01 04:21:11,36474,26
"New South Wales, Australia",2022-02-01 04:21:11,1086483,1422
"Northern Territory, Australia",2022-02-01 04:21:11,24311,2
"Queensland, Australia",2022-02-01 04:21:11,417689,209
"South Australia, Australia",2022-02-01 04:21:11,120233,120
"Tasmania, Australia",2022-02-01 04:21:11,30645,18
"Victoria, Australia",2022-02-01 04:21:11,863000,2029
"Western Australia, Australia",2022-02-01 04:21:11,1551,9
Austria,2022-02-01 04:21:11,1855578,14103
Azerbaijan,2022-02-01 04:21:11,658470,8734
Bahamas,2022-02-01 04:21:11,32562,746
Bahrain,2022-02-01 04:21:11,374575,1408
Bangladesh,2022-02-01 04:21:11,1798833,28394
Barbados,2022-02-01 04:21:11,44430,280
Belarus,2022-02-01 04:21:11,742953,6052
"Antwerp, Belgium",2022-02-01 04:21:11,465936,0
"Brussels, Belgium",2022-02-01 04:21:11,378746,0
"East Flanders, Belgium",2022-02-01 04:21:11,401431,0
"Flemish Brabant, Belgium",2022-02-01 04:21:11,288657,0
"Hainaut, Belgium",2022-02-01 04:21:11,370335,0
"Liege, Belgium",2022-02-01 04:21:11,313271,0
"Limburg, Belgium",2022-02-01 04:21:11,215656,0
"Luxembourg, Belgium",2022-02-01 04:21:11,80354,0
"Namur, Belgium",2022-02-01 04:21:11,142739,0
"Unknown, Belgium",2022-02-01 04:21:11,47472,29052
"Walloon Brabant, Belgium",2022-02-01 04:21:11,120797,0
"West Flanders, Belgium",2022-02-01 04:21:11,329845,0
Belize,2022-02-01 04:21:11,50487,625
Benin,2022-02-01 04:21:11,26450,163
Bhutan,2022-02-01 04:21:11,4891,4
Bolivia,2022-02-01 04:21:11,855705,20951
Bosnia and Herzegovina,2022-02-01 04:21:11,347467,14447
Botswana,2022-02-01 04:21:11,253036,2581
"Acre, Brazil",2022-02-01 04:21:11,101260,1871
"Alagoas, Brazil",2022-02-01 04:21:11,258240,6441
"Amapa, Brazil",2022-02-01 04:21:11,151958,2051
"Amazonas, Brazil",2022-02-01 04:21:11,529876,13950
"Bahia, Brazil",2022-02-01 04:21:11,1363312,27944
"Ceara, Brazil",2022-02-01 04:21:11,1124676,25245
"Distrito Federal, Brazil",2022-02-01 04:21:11,606765,11174
"Espirito Santo, Brazil",2022-02-01 04:21:11,848235,13524
"Goias, Brazil",2022-02-01 04:21:11,1037046,25037
"Maranhao, Brazil",2022-02-01 04:21:11,386567,10488
"Mato Grosso, Brazil",2022-02-01 04:21:11,629323,14304
"Mato Grosso do Sul, Brazil",2022-02-01 04:21:11,423244,9878
"Minas Gerais, Brazil",2022-02-01 04:21:11,2713581,57314
"Para, Brazil",2022-02-01 04:21:11,650512,17355
"Paraiba, Brazil",2022-02-01 04:21:11,498923,9716
"Parana, Brazil",2022-02-01 04:21:11,1973247,41242
"Pernambuco, Brazil",2022-02-01 04:21:11,698267,20643
"Piaui, Brazil",2022-02-01 04:21:11,344237,7389
"Rio Grande do Norte, Brazil",2022-02-01 04:21:11,425866,7705
"Rio Grande do Sul, Brazil",2022-02-01 04:21:11,1826295,36873
"Rio de Janeiro, Brazil",2022-02-01 04:21:11,1757151,69884
"Rondonia, Brazil",2022-02-01 04:21:11,318313,6833
"Roraima, Brazil",2022-02-01 04:21:11,142566,2096
"Santa Catarina, Brazil",2022-02-01 04:21:11,1442511,20579
"Sao Paulo, Brazil",2022-02-01 04:21:11,4648715,157954
"Sergipe, Brazil",2022-02-01 04:21:11,293716,6098
"Tocantins, Brazil",2022-02-01 04:21:11,269128,4001
Brunei,2022-02-01 04:21:11,16476,98
Bulgaria,2022-02-01 04:21:11,951965,33318
Burkina Faso,2022-02-01 04:21:11,20624,366
Burma,2022-02-01 04:21:11,535532,19310
Burundi,2022-02-01 04:21:11,37432,38
Cabo Verde,2022-02-01 04:21:11,55695,396
Cambodia,2022-02-01 04:21:11,121355,3015
Cameroon,2022-02-01 04:21:11,116718,1880
"Alberta, Canada",2022-02-01 04:21:11,493973,3566
"British Columbia, Canada",2022-02-01 04:21:11,324615,2616
"Diamond Princess, Canada",2020-12-21 13:27:30,0,1
"Grand Princess, Canada",2020-12-21 13:27:30,13,0
"Manitoba, Canada",2022-02-01 04:21:11,120644,1562
"New Brunswick, Canada",2022-02-01 04:21:11,28885,238
"Newfoundland and Labrador, Canada",2022-02-01 04:21:11,17359,40
"Northwest Territories,Canada",2022-02-01 04:21:11,5865,15
"Nova Scotia, Canada",2022-02-01 04:21:11,37803,142
"Nunavut, Canada",2022-02-01 04:21:11,1737,5
"Ontario, Canada",2022-02-01 04:21:11,1033294,11444
"Prince Edward Island, Canada",2022-02-01 04:21:11,7779,10
"Quebec, Canada",2022-02-01 04:21:11,861889,13223
"Repatriated Travellers, Canada",2022-02-01 04:21:11,13,0
"Saskatchewan, Canada",2022-02-01 04:21:11,118606,992
"Yukon, Canada",2022-02-01 04:21:11,3106,16
Central African Republic,2022-02-01 04:21:11,13919,110
Chad,2022-02-01 04:21:11,7155,190
"Antofagasta, Chile",2022-02-01 04:21:11,90876,1314
"Araucania, Chile",2022-02-01 04:21:11,122036,1581
"Arica y Parinacota, Chile",2022-02-01 04:21:11,42539,563
"Atacama, Chile",2022-02-01 04:21:11,37710,390
"Aysen, Chile",2022-02-01 04:21:11,12946,104
"Biobio, Chile",2022-02-01 04:21:11,187846,2923
"Coquimbo, Chile",2022-02-01 04:21:11,69837,1130
"Los Lagos, Chile",2022-02-01 04:21:11,110322,1572
"Los Rios, Chile",2022-02-01 04:21:11,61054,753
"Magallanes, Chile",2022-02-01 04:21:11,38865,525
"Maule, Chile",2022-02-01 04:21:11,121157,1882
"Metropolitana, Chile",2022-02-01 04:21:11,898620,20089
"Nuble, Chile",2022-02-01 04:21:11,46525,685
"OHiggins, Chile",2022-02-01 04:21:11,83728,1644
"Tarapaca, Chile",2022-02-01 04:21:11,69214,868
"Unknown, Chile",2022-02-01 04:21:11,62,0
